GAS,-30,-20,-10,0,10,20,30,40,50
OX-A,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,2.87
OX-B,-0.9,-0.9,-0.9,-0.9,-0.9,-0.35,0.5,1.15,1.8
SO2-A,0.85,0.85,0.85,0.85,0.85,1.15,1.45,1.75,1.95
SO2-B,1,1,1,1,1,1,1,1,1
NO2-A,1.18,1.18,1.18,1.18,1.18,1.18,1.18,2,2.7
NO2-B,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
NO-A,1.13,1.13,1.13,1.13,1.37,1.37,1.37,1.37,1.37
NO-B,0.75,1.05,1.35,1.65,1.95,1.8,1.65,1.5,1.35
CO-A,1.4,1.03,0.85,0.62,0.3,0.03,-0.25,-0.48,-0.8
CO-B,1.2,1.2,1.2,1.2,1.05,-0.32,-1.07,-3,-2.4
H2S-A,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
H2S-B,1.85,1.85,1.85,1.85,-1.8,-1.8,-1.8,-1.8,-1.8
